condition,img_side_order,trial_no,img_pair_name,trial_type,target_audio_type,target_audio,left_img,right_img,exp.clicked,start_time,current_windowW,current_windowH,end_pre1_time,end_pre2_time,end_img_reset_time,end_contrast_time,start_event_time,end_event_time,end_trial_time,start_event_timept,end_event_timept,time,x,y,Browser,OS,screenH,screenW,windowH,windowW,imageH,imageW,language,age,gender,eyesight,eyesight_task,comments,accuracy,previous_accuracy_attempts,time_in_minutes,participant_id
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,88775.84500001103,893,651,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,88811.53500000073,913,726,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,88840.52500000689,888,571,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,88875.37500000326,845,660,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,88906.72500000801,715,642,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,88942.6850000018,813,537,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,88974.1200000135,1056,438,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,89007.62000000395,954,469,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,89043.78500000166,922,409,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
verb,img_side_order1,1,pair5,verb,verb,sleep,sleep,ball,none,1597875237515,1280,689,5255,10607,11609,17939,19280,27307,1597875266883,1597875256795,1597875264822,89073.51500001096,898,411,Chrome,Mac,800,1280,689,1280,288,400,English,21,Female,none,neither,Elizabeth - test,75,[],9.87265,774848
